"Project ID","Compliance Program ID","Cooperative/ Aggregate ID","Project Developer","Project Owner","Project Name","Offset Project Operator","Authorized Project Designee","Verification Body","Project Type","Status","Compliance Program Status","Project Site Location","Project Site State","Project Site Country","Additional Certification(s)","SDG Impact","Project Notes","Total Number of Offset Credits Registered ","Project Listed Date","Project Registered Date","Documents","Data","Project Website",
"CAR1452","N/A","CARC1647","TERRITORIOS RURALES SOSTENIBLES AC","Ejido San Mateo","Captura de carbono forestal en el Ejido San Mateo","","","","Forestry - MX","Registered","Not ARB or WA ECO Eligible","DOM. CON. SAN MATEO","STATE OF M�XICO","MX","","3. Good Health and Well-Being;6. Clean Water and Sanitation;7. Affordable and Clean Energy;8. Decent Work and Economic Growth;10. Reduced Inequalities;12. Responsible Consumption and Production;13. Climate Action;15. Life on Land","","1662","07/24/2020","07/22/2021","View","View","",
"CAR1527","N/A","CARC1740","TERRITORIOS RURALES SOSTENIBLES AC","Ejido San Miguel Sultepec","Captura de carbono forestal en el ejido San Miguel Sultepec","","","TUV SUD America, Inc.","Forestry - MX","Registered","Not ARB or WA ECO Eligible","San Miguel Xoltepec atras de la iglesia y por el molino","STATE OF M�XICO","MX","","","","558","02/16/2022","02/02/2023","View","View","",
"CAR1523","N/A","CARC1740","TERRITORIOS RURALES SOSTENIBLES AC","Ejido San Miguel Tenextepec","Captura de carbono forestal en el ejido San Miguel Tenextepec","","","TUV SUD America, Inc.","Forestry - MX","Registered","Not ARB or WA ECO Eligible","San Miguel Tenextepec, S/N 51260 CP","STATE OF M�XICO","MX","","","","3197","02/16/2022","02/02/2023","View","View","",
"CAR1636","N/A","CARC1740","TERRITORIOS RURALES SOSTENIBLES AC","Ejido San Pedro Jacuaro","Captura de carbono forestal en el ejido San Pedro Jacuaro","","","TUV SUD America, Inc.","Forestry - MX","Registered","Not ARB or WA ECO Eligible","L�zaro C�rdenas #25 C.P. 61210, San Pedro Jacuaro. Mpio Cd Hidalgo, Michoac�n.","MICHOAC�N","MX","","","","2573","10/28/2022","08/31/2023","View","View","",
"CAR1929","N/A","CARC1918","MONTEZUMAE GLOBAL CONSULTORES S.C.","EJIDO TURIRAN","Captura de Carbono Forestal en el Ejido Turir�n","","","","Forestry - MX","Registered","Not ARB or WA ECO Eligible","Municipio Salvador Escalante","MICHOAC�N","MX","","1. No Poverty;4. Quality Education;8. Decent Work and Economic Growth;13. Climate Action;15. Life on Land","","22526","11/01/2024","02/24/2026","View","View","",
"CAR1928","N/A","CARC1918","MONTEZUMAE GLOBAL CONSULTORES S.C.","Ejido Villa Madero","Captura de Carbono Forestal en el Ejido Villa Madero","","","","Forestry - MX","Registered","Not ARB or WA ECO Eligible","Municipio Madero","MICHOAC�N","MX","","1. No Poverty;4. Quality Education;5. Gender Equality;8. Decent Work and Economic Growth;13. Climate Action;15. Life on Land","","41506","11/01/2024","02/24/2026","View","View","",
"CAR2070","N/A","CARC2063","GRUPO DE GESTION SOCIAL AGRARIO Y FORESTAL","Ma. Concepci�n Guti�rrez Estrada","Captura de carbono forestal en el los bosques de los predios La Soledad y anexos, del municipio de Coalcom�n.","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Coalcom�n de V�zquez Pallares, Michoac�n, M�xico.","MICHOAC�N","MX","","","","","05/06/2025","","View","View","",
"CAR1445","N/A","CARC1647","TERRITORIOS RURALES SOSTENIBLES AC","Comunidad Rinc�n de Guadalupe","Captura de carbono forestal en la Comunidad de Rinc�n de Guadalupe","","","","Forestry - MX","Registered","Not ARB or WA ECO Eligible","CDO SN RINC�N DE GPE. AMANALCO","STATE OF M�XICO","MX","","3. Good Health and Well-Being;6. Clean Water and Sanitation;7. Affordable and Clean Energy;8. Decent Work and Economic Growth;10. Reduced Inequalities;12. Responsible Consumption and Production;13. Climate Action;15. Life on Land;FSC","","3397","07/24/2020","05/25/2021","View","View","",
"CAR1447","N/A","CARC1647","TERRITORIOS RURALES SOSTENIBLES AC","Comunidad San Miguel Tenextepec","Captura de carbono forestal en la comunidad de San Miguel Tenextepec","","","","Forestry - MX","Registered","Not ARB or WA ECO Eligible","CDO SN SAN MIGUEL M�XICO 51260","STATE OF M�XICO","MX","","3. Good Health and Well-Being;6. Clean Water and Sanitation;7. Affordable and Clean Energy;8. Decent Work and Economic Growth;10. Reduced Inequalities;12. Responsible Consumption and Production;13. Climate Action;15. Life on Land","","5601","07/24/2020","05/10/2021","View","View","",
"CAR1449","N/A","CARC1647","TERRITORIOS RURALES SOSTENIBLES AC","Comunidad Santa Maria y sus Barrios","Captura de carbono forestal en la comunidad de Santa Mar�a y sus Barrios","","","","Forestry - MX","Registered","Not ARB or WA ECO Eligible","Dom. con. Santa Mar�a de las Delicias S/N, Villa de Allende, C.P. 51000","STATE OF M�XICO","MX","","3. Good Health and Well-Being;6. Clean Water and Sanitation;7. Affordable and Clean Energy;8. Decent Work and Economic Growth;10. Reduced Inequalities;12. Responsible Consumption and Production;13. Climate Action;15. Life on Land","","12568","07/24/2020","06/03/2021","View","View","",
"CAR1939","N/A","CARC1918","MONTEZUMAE GLOBAL CONSULTORES S.C.","Comunidad Indigena Barrio de San Francisco","Captura de Carbono Forestal en la Comunidad Ind�gena Barrio de San Francisco","","","","Forestry - MX","Registered","Not ARB or WA ECO Eligible","Municipio de P�ztcuaro","MICHOAC�N","MX","","1. No Poverty;4. Quality Education;8. Decent Work and Economic Growth;13. Climate Action;15. Life on Land","","16940","11/01/2024","03/24/2026","View","View","",
"CAR1802","N/A","CARC1803","TERRITORIOS RURALES SOSTENIBLES AC","Comunidad Ind�gena Carpinteros","Captura de carbono forestal en la Comunidad Ind�gena Carpinteros","","","","Forestry - MX","Registered","Not ARB or WA ECO Eligible","Zit�cuaro","MICHOAC�N","MX","","3. Good Health and Well-Being;6. Clean Water and Sanitation;7. Affordable and Clean Energy;8. Decent Work and Economic Growth;10. Reduced Inequalities;13. Climate Action;15. Life on Land","","6222","10/21/2024","10/29/2025","View","View","",
"CAR1935","N/A","CARC1918","MONTEZUMAE GLOBAL CONSULTORES S.C.","COMUNIDAD INDIGENA DE JAUJA","Captura de Carbono Forestal en la Comunidad Ind�gena de Jauja","","","","Forestry - MX","Registered","Not ARB or WA ECO Eligible","Municipio de Quer�ndaro","MICHOAC�N","MX","","1. No Poverty;4. Quality Education;8. Decent Work and Economic Growth;13. Climate Action;15. Life on Land","","5372","11/01/2024","02/25/2026","View","View","",
"CAR1638","N/A","CARC1740","TERRITORIOS RURALES SOSTENIBLES AC","Comunidad Ind�gena San Pedro Jacuaro","Captura de carbono forestal en la Comunidad Ind�gena San Pedro Jacuaro","","","TUV SUD America, Inc.","Forestry - MX","Registered","Not ARB or WA ECO Eligible","L�zaro C�rdenas #25 C.P. 61210,  San Pedro Jacuaro, Mpio. Hidalgo, Michoacan.","MICHOAC�N","MX","","","","6315","10/28/2022","08/31/2023","View","View","",
"CAR1877","N/A","CARC1900","MONTEZUMAE GLOBAL CONSULTORES S.C.","Comunidad La Soledad","Captura de Carbono Forestal en la Comunidad La Soledad","","","","Forestry - MX","Registered","Not ARB or WA ECO Eligible","Tepehuanes","DURANGO","MX","","1. No Poverty;5. Gender Equality;8. Decent Work and Economic Growth;10. Reduced Inequalities;13. Climate Action;15. Life on Land","","29087","04/29/2024","09/29/2025","View","View","",
"CAR1876","N/A","CARC1900","MONTEZUMAE GLOBAL CONSULTORES S.C.","Comunidad de San Ignacio","Captura de Carbono Forestal en la Comunidad San Ignacio","","","","Forestry - MX","Registered","Not ARB or WA ECO Eligible","Tepehuanes","DURANGO","MX","","1. No Poverty;5. Gender Equality;8. Decent Work and Economic Growth;10. Reduced Inequalities;13. Climate Action;15. Life on Land","","90141","04/29/2024","09/29/2025","View","View","",
"CAR1875","N/A","CARC1900","MONTEZUMAE GLOBAL CONSULTORES S.C.","Comunidad Yesqueros","Captura de Carbono Forestal en la Comunidad Yesqueros","","","","Forestry - MX","Registered","Not ARB or WA ECO Eligible","Tepehuanes, Durango","DURANGO","MX","","1. No Poverty;5. Gender Equality;8. Decent Work and Economic Growth;10. Reduced Inequalities;13. Climate Action;15. Life on Land","","49459","04/29/2024","09/29/2025","View","View","",
"CAR1949","N/A","CARC1918","MONTEZUMAE GLOBAL CONSULTORES S.C.","Pequena Propiedad El Zapatero","Captura de Carbono Forestal en la Peque�a Propiedad El Zapatero","","","","Forestry - MX","Registered","Not ARB or WA ECO Eligible","Quer�ndaro","MICHOAC�N","MX","","1. No Poverty;4. Quality Education;8. Decent Work and Economic Growth;13. Climate Action;15. Life on Land","","2133","11/04/2024","02/24/2026","View","View","",
"CAR1635","N/A","CARC1740","TERRITORIOS RURALES SOSTENIBLES AC","Bienes Comunales de San Francisco Oxtotilpan","Captura de carbono forestal en los Bienes Comunales de San Francisco Oxtotilpan","","","TUV SUD America, Inc.","Forestry - MX","Registered","Not ARB or WA ECO Eligible","Delegaci�n Municipal, San Francisco Oxtotilpan","STATE OF M�XICO","MX","","","","7365","10/28/2022","08/31/2023","View","View","",
"CAR1524","N/A","CARC1740","TERRITORIOS RURALES SOSTENIBLES AC","Bienes Comunales San Miguel Ixtapan","Captura de carbono forestal en los Bienes Comunales de San Miguel Ixtapan","","","TUV SUD America, Inc.","Forestry - MX","Registered","Not ARB or WA ECO Eligible","San Miguel Ixtapan: Cam sin nombre S/N Loc San Telmo","STATE OF M�XICO","MX","","","","2587","02/16/2022","02/02/2023","View","View","",
"CAR1525","N/A","CARC1740","TERRITORIOS RURALES SOSTENIBLES AC","Bienes Comunales de San Miguel Xoltepec","Captura de carbono forestal en los Bienes Comunales de San Miguel Xoltepec","","","TUV SUD America, Inc.","Forestry - MX","Registered","Not ARB or WA ECO Eligible","San Miguel Xoltepec SN CP. 51260 por la Ziranda","STATE OF M�XICO","MX","","","","1119","02/16/2022","02/02/2023","View","View","",
"CAR2095","N/A","CARC2093","GRUPO DE GESTION SOCIAL AGRARIO Y FORESTAL","MANUEL GUTIERREZ ESTRADA","Captura de carbono forestal en los bosques de los predios El Jard�n y anexos de Aguililla y Coalcom�n, Michoacan","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Aguililla-Coalcoman Michoac�n M�xico","MICHOAC�N","MX","","","","","05/27/2025","","View","View","",
"CAR2094","N/A","CARC2093","GRUPO DE GESTION SOCIAL AGRARIO Y FORESTAL","J. JESUS GUTIERREZ ESTRADA","Captura de Carbono forestal en los bosques de los predios La Alberca y anexos, del municipio de Aguililla y Coalcom�n, Michoac�n","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Aguililla-Coalcoman Michoac�n M�xico","MICHOAC�N","MX","","","","","05/27/2025","","View","View","",
"CAR2077","N/A","CARC2063","GRUPO DE GESTION SOCIAL AGRARIO Y FORESTAL","MARIA FERNANDA GARCIA GUTIERREZ","Captura de carbono forestal en los bosques de los predios La F�brica y anexos del municipio de Coalcom�n.","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Coalcom�n de V�zquez Pallares, Michoac�n, M�xico.","MICHOAC�N","MX","","","","","05/06/2025","","View","View","",
"CAR2072","N/A","CARC2063","GRUPO DE GESTION SOCIAL AGRARIO Y FORESTAL","MISAEL ALEJANDRO MARTINEZ GUTIERREZ","Captura de Carbono forestal en los bosques de los predios La Gallina y Tabernas y anexos del municipio de Coalcom�n","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Coalcom�n de V�zquez Pallares, Michoac�n, M�xico.","MICHOAC�N","MX","","","","","05/06/2025","","View","View","",
"CAR2069","N/A","CARC2063","GRUPO DE GESTION SOCIAL AGRARIO Y FORESTAL","ADALBERTO GUTIERREZ ESTRADA","Captura de Carbono forestal en los bosques de los predios La Pitahaya y anexos del municipio de Coalcom�n de V�zquez Pallares y Aguililla.","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Aguililla-Coalcoman Michoac�n M�xico","MICHOAC�N","MX","","","","","05/06/2025","","View","View","",
"CAR2075","N/A","CARC2063","GRUPO DE GESTION SOCIAL AGRARIO Y FORESTAL","HILDA ESMERALDA GUTIERREZ ESTRADA","Captura de carbono forestal en los bosques de los predios La Soledad y anexos del municipio de Coalcom�n.","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Coalcom�n de V�zquez Pallares, Michoac�n, M�xico.","MICHOAC�N","MX","","","","","05/06/2025","","View","View","",
"CAR2098","N/A","CARC2093","GRUPO DE GESTION SOCIAL AGRARIO Y FORESTAL","FRANCISCO CASTREJON MENDOZA","Captura de Carbono forestal en los bosques del predio Carricitos, Rancho Quemado y La Joya del Municipio de Coalcom�n, Michoac�n","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Coalcom�n de V�zquez Pallares, Michoac�n, M�xico.","MICHOAC�N","MX","","","","","05/27/2025","","View","View","",
"CAR2100","N/A","CARC2093","GRUPO DE GESTION SOCIAL AGRARIO Y FORESTAL","GLADYS KARINA GUTIERREZ VACA","Captura de Carbono forestal en los bosques del predio Cerro Bola, Amoles, Llanitos y Palo Verde del municipio de Coalcom�n, Michoacan","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Coalcom�n de V�zquez Pallares, Michoac�n, M�xico.","MICHOAC�N","MX","","","","","05/27/2025","","View","View","",
"CAR2096","N/A","CARC2093","GRUPO DE GESTION SOCIAL AGRARIO Y FORESTAL","MONICA SANTANA NU�EZ","Captura de Carbono forestal en los bosques del Predio Cerro Bola,Amoles, Llanitos O Palo Verde y anexos, del municipio de Coalcom�n, Michoacan","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Coalcom�n de V�zquez Pallares, Michoac�n, M�xico.","MICHOAC�N","MX","","","","","05/27/2025","","View","View","",
"CAR2102","N/A","CARC2093","GRUPO DE GESTION SOCIAL AGRARIO Y FORESTAL","EDGAR MANUEL GUTIERREZ MEDINA","Captura de Carbono forestal en los bosques del predio El Aguacate del municipio de Coalcom�n, Michoac�n","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Coalcom�n de V�zquez Pallares, Michoac�n, M�xico.","MICHOAC�N","MX","","","","","05/27/2025","","View","View","",
"CAR2071","N/A","CARC2063","GRUPO DE GESTION SOCIAL AGRARIO Y FORESTAL","Flor Audrey Gutierrez Gonzalez","Captura de Carbono forestal en los bosques del predio El Ahijadero del municipio de Coalcom�n.","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Coalcom�n de V�zquez Pallares, Michoac�n, M�xico.","MICHOAC�N","MX","","","","","05/06/2025","","View","View","",
"CAR2099","N/A","CARC2093","GRUPO DE GESTION SOCIAL AGRARIO Y FORESTAL","ROSALINDA MONTEJANO NARANJO","Captura de Carbono forestal en los bosques del Predio El Encanto del municipio de Coalcom�n, Michoac�n","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Coalcom�n de V�zquez Pallares, Michoac�n, M�xico.","MICHOAC�N","MX","","","","","05/27/2025","","View","View","",
"CAR2074","N/A","CARC2063","GRUPO DE GESTION SOCIAL AGRARIO Y FORESTAL","SAUL GUTIERREZ MONTEJANO","Captura de carbono forestal en los bosques del predio La Joya y anexos del municipio de Coalcom�n y Aguililla.","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Coalcom�n de V�zquez Pallares y Aguililla, Michoac�n, M�xico.","MICHOAC�N","MX","","","","","05/06/2025","","View","View","",
"CAR2101","N/A","CARC2093","GRUPO DE GESTION SOCIAL AGRARIO Y FORESTAL","DIEHDRA SARAI LEON GUTIERREZ","Captura de Carbono forestal en los bosques del predio La Paloma del municipio de Coalcom�n, Michoac�n","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Coalcom�n de V�zquez Pallares, Michoac�n, M�xico.","MICHOAC�N","MX","","","","","05/27/2025","","View","View","",
"CAR2097","N/A","CARC2093","GRUPO DE GESTION SOCIAL AGRARIO Y FORESTAL","J. GUADALUPE CASTREJON GUTIERREZ","Captura de Carbono forestal en los bosques del predio La Yerbabuena del municipio de Coalcom�n, Michoac�n","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Coalcom�n de V�zquez Pallares, Michoac�n, M�xico.","MICHOAC�N","MX","","","","","05/27/2025","","View","View","",
"CAR2076","N/A","CARC2063","GRUPO DE GESTION SOCIAL AGRARIO Y FORESTAL","MA. DE LOS ANGELES GUTIERREZ ESTRADA","Captura de carbono forestal en los bosques del predio Los Robledo y anexos del municipio de Coalcom�n.","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Coalcom�n de V�zquez Pallares, Michoac�n, M�xico.","MICHOAC�N","MX","","","","","05/06/2025","","View","View","",
"CAR2073","N/A","CARC2063","GRUPO DE GESTION SOCIAL AGRARIO Y FORESTAL","MA. GUADALUPE GUTIERREZ ESTRADA","Captura de Carbono forestal en los bosques del predio Paso Malo y anexos del municipio de Coalcom�n.","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Coalcom�n de V�zquez Pallares, Michoac�n, M�xico.","MICHOAC�N","MX","","","","","05/06/2025","","View","View","",
"CAR2116","N/A","","GRUPO DE GESTION SOCIAL AGRARIO Y FORESTAL","PREDIO RUSTICO DENOMINADO FRACCION IV LA BARRA","Captura de carbono forestal en los bosques del predio rustico denominado Fraccion IV La Barra","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Ario de Rosales, Michoac�n de Ocampo","MICHOAC�N","MX","","","","","05/24/2025","","View","View","",
"CAR1908","N/A","CARC1803","TERRITORIOS RURALES SOSTENIBLES AC","Rancho Chocua","Captura de Carbono Forestal, Peque�a Propiedad Rancho Chocua","","","","Forestry - MX","Registered","Not ARB or WA ECO Eligible","Carretera  Angangueo -San Jos� del Rinc�n, Mpio. San Jos� del Rinc�n","MICHOAC�N","MX","","3. Good Health and Well-Being;6. Clean Water and Sanitation;7. Affordable and Clean Energy;8. Decent Work and Economic Growth;13. Climate Action;15. Life on Land","","1682","10/21/2024","10/28/2025","View","View","",
"CAR1333","N/A","","SERVICIOS TECNICOS FORESTALES DE LA UNION DE EJIDOS EMILIANO ZAPATA SC","EJIDO SAN BARTOLO AMANALCO","Captura de Carbono San Bartolo O2","","","SCS Global Services","Forestry - MX","Registered","Not ARB or WA ECO Eligible","San Bartolo Amanalco","STATE OF M�XICO","MX","","1. No Poverty;2. Zero Hunger;6. Clean Water and Sanitation;8. Decent Work and Economic Growth;10. Reduced Inequalities;11. Sustainable Cities and Communities;13. Climate Action;15. Life on Land;17. Partnership for the Goals","","14806","03/11/2019","12/04/2019","View","View","",
"CAR1813","N/A","CARC1782","MERCADO AMBIENTAL AP","Tlalcosahutl","Captura de Carbono Tlalcosahualt, Jalisco","","","Asociacion de Normalizacion y Certificacion, S.A. de C.V.","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Tapalpa, Jalisco, M�xico","JALISCO","MX","","","","","01/24/2024","","View","View","",
"CAR1780","N/A","CARC1782","MERCADO AMBIENTAL AP","NCPE Ejido Emiliano Zapata","Captura de Carbono, Ejido Emiliano Zapata en Sayula, Jalisco","","","Asociacion de Normalizacion y Certificacion, S.A. de C.V.","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Sayula","JALISCO","MX","","","","","06/20/2023","","View","View","",
"CAR1810","N/A","CARC1782","MERCADO AMBIENTAL AP","Ejido Juanacatl�n","Captura de Carbono, Ejido Juanacatl�n en Tapalpa, Jalisco","","","Asociacion de Normalizacion y Certificacion, S.A. de C.V.","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Tapalpa, Jalisco, M�xico","JALISCO","MX","","","","","01/24/2024","","View","View","",
"CAR1742","N/A","CARC1782","MERCADO AMBIENTAL AP","La Maestranza","Captura de Carbono, La Maestranza, Jalisco","","","Asociacion de Normalizacion y Certificacion, S.A. de C.V.","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Tecalitl�n, Jalisco, M�xico","JALISCO","MX","","","","","08/13/2024","","View","View","",
"CAR1743","N/A","CARC1782","MERCADO AMBIENTAL AP","Los Cerros","Captura de Carbono, Los Cerros, Jalisco","","","Asociacion de Normalizacion y Certificacion, S.A. de C.V.","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Tecalitl�n, Jalisco, M�xico","JALISCO","MX","","","","","08/13/2024","","View","View","",
"CAR1811","N/A","CARC1782","MERCADO AMBIENTAL AP","Ejido Salsipuedes Emiliano Zapata","Captura de Carbono, Salsipuedes en San Gabriel, Jalisco","","","Asociacion de Normalizacion y Certificacion, S.A. de C.V.","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Tapalpa, Jalisco, M�xico","JALISCO","MX","","","","","01/24/2024","","View","View","",
"CAR1781","N/A","CARC1782","MERCADO AMBIENTAL AP","Rancho Mazati S.A de C.V","Captura de Carbono, Sierra Mazati, Jalisco","","","Asociacion de Normalizacion y Certificacion, S.A. de C.V.","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Carretera Tapalpa - Chiquilistlan, 48640 Tapalpa, Jal.","JALISCO","MX","","","","","06/20/2023","","View","View","",
"CAR1809","N/A","CARC1782","MERCADO AMBIENTAL AP","Ejido Tepec","Captura de Carbono, Tepec en Tapalpa, Jalisco","","","Asociacion de Normalizacion y Certificacion, S.A. de C.V.","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Tapalpa, Jalisco, M�xico","JALISCO","MX","","","","","01/24/2024","","View","View","",
"CAR2117","N/A","","Ozinga","Ozinga","Carbon Sense Cement","","","","Low Carbon Cement","Listed","Not ARB or WA ECO Eligible","3231 Dickey Rd, East Chicago, IN 46312","INDIANA","US","","","","","10/10/2025","","View","View","www.ozinga.com",
"CAR2191","CAFR7191","","Carbon Storage Solutions LLC","Carbon Storage Solutions LLC","Carbon Storage Solutions One","Carbon Storage Solutions LLC","None","","Improved Forest Management - ARB Compliance","Listed","Proposed Project","Mendocino and Humboldt Counties","CALIFORNIA","US","","","","","09/24/2025","","View","View","",
"CAR1731","N/A","","Bioforestal Innovaci�n Sustentable S.C.","Carbono Azul Playa Tortuga","Carbono Azul Playa Tortuga","","","","Forestry - MX","Registered","Not ARB or WA ECO Eligible","CHAMPOTON","CAMPECHE","MX","","","","9363","03/17/2023","10/31/2024","View","View","",
"CAR2131","N/A","","CARBONOF MEXICO, S.A.P.I. DE C.V.","Comunidad San Mart�n Buenavista","Carbono Forestal Comunidad San Mart�n Buenavista","","","","Forestry - MX","Registered","Not ARB or WA ECO Eligible","San Mart�n Buenavista, San Pedro Yolox, Oaxaca","OAXACA","MX","","","","28210","07/15/2025","03/05/2026","View","View","https://carbonof.com/es/san-martin-buenavista/",
"CAR2133","N/A","","CARBONOF MEXICO, S.A.P.I. DE C.V.","CARBONOF MEXICO, S.A.P.I. DE C.V.","Carbono Forestal Ejido Chocachi","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Chocachi, Guerrero, Chihuahua","CHIHUAHUA","MX","","","","","05/08/2025","","View","View","https://carbonof.com/es/ejido-chocachi/",
"CAR2130","N/A","","CARBONOF MEXICO, S.A.P.I. DE C.V.","Ejido Creel","Carbono Forestal Ejido Creel","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Creel, Bocoyna","CHIHUAHUA","MX","","","","","05/06/2025","","View","View","https://carbonof.com/es/ejido-creel/",
"CAR2179","N/A","","CARBONOF MEXICO, S.A.P.I. DE C.V.","Ejido Cusarare","Carbono Forestal Ejido Cusarare","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Cusarare, Guachochi, Chihuahua","CHIHUAHUA","MX","","","","","10/21/2025","","View","View","https://carbonof.com/ejido-cusarare/",
"CAR2084","N/A","","CARBONOF MEXICO, S.A.P.I. DE C.V.","Ejido El Maguey","Carbono Forestal Ejido El Maguey","","","","Forestry - MX","Registered","Not ARB or WA ECO Eligible","El Maguey, San Dimas","DURANGO","MX","","","","22431","02/28/2025","12/05/2025","View","View","https://carbonof.com/es/el-maguey/",
"CAR2085","N/A","","CARBONOF MEXICO, S.A.P.I. DE C.V.","Ejido El Pinito","Carbono Forestal Ejido El Pinito","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Ejido El Pinito, Guadalupe y Calvo, Chihuahua","CHIHUAHUA","MX","","","","","03/14/2025","","View","View","https://carbonof.com/es/ejido-el-pinito/",
"CAR2156","N/A","","FORESTAL OLIVAS Y ASOCIADOS SC","Ejido Huevachi","Carbono forestal Ejido Huevachi","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","CHIHUAHUA","CHIHUAHUA","MX","","","","","11/21/2025","","View","View","",
"CAR1630","N/A","","BRET Consultores","EJIDO MASCOTA","Carbono Forestal Ejido Mascota","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","MASCOTA","JALISCO","MX","","","","","09/29/2022","","View","View","",
"CAR2068","N/A","","CARBONOF MEXICO, S.A.P.I. DE C.V.","Ejido Monterde","Carbono Forestal Ejido Monterde","","","Asociacion de Normalizacion y Certificacion, S.A. de C.V.","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Ejido Monterde, Guazapares, Chihuahua","CHIHUAHUA","MX","","","","","01/31/2025","","View","View","https://carbonof.com/es/ejido-monteverde/",
"CAR1632","N/A","CARC1628","BRET Consultores","EJIDO NAVIDAD","Carbono Forestal Ejido Navidad","","","","Forestry - MX","Registered","Not ARB or WA ECO Eligible","Mascota","JALISCO","MX","","1. No Poverty;2. Zero Hunger;6. Clean Water and Sanitation;8. Decent Work and Economic Growth;13. Climate Action;15. Life on Land","","11068","09/29/2022","07/07/2025","View","View","",
"CAR2081","N/A","","CARBONOF MEXICO, S.A.P.I. DE C.V.","Ejido Ocobiachi","Carbono Forestal Ejido Ocobiachi","","","Asociacion de Normalizacion y Certificacion, S.A. de C.V.","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Ejido Ocobiachi, Guazapares, Chihuahua","CHIHUAHUA","MX","","","","","04/28/2025","","View","View","https://carbonof.com/es/ejido-ocobiachi/",
"CAR1633","N/A","CARC1628","BRET Consultores","EJIDO RINCON DE MIRANDILLA","Carbono Forestal Ejido Rinc�n de Mirandilla","","","","Forestry - MX","Registered","Not ARB or WA ECO Eligible","Localidad Mascota","JALISCO","MX","","1. No Poverty;2. Zero Hunger;6. Clean Water and Sanitation;8. Decent Work and Economic Growth;13. Climate Action;15. Life on Land","","13054","09/29/2022","07/07/2025","View","View","",
"CAR2142","N/A","","CARBONOF MEXICO, S.A.P.I. DE C.V.","Ejido Rocheachi","Carbono Forestal Ejido Rocheachi","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Rocheachi, Guachochi, Chihuahua","CHIHUAHUA","MX","","","","","10/01/2025","","View","View","https://carbonof.com/ejido-rocheachi/",
"CAR2082","N/A","","CARBONOF MEXICO, S.A.P.I. DE C.V.","Ejido Rocoroyvo","Carbono Forestal Ejido Rocoroyvo","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Ejido Rocoroyvo, Uruachi, Chihuahua","CHIHUAHUA","MX","","","","","04/28/2025","","View","View","https://carbonof.com/es/ejido-rocoroyvo/",
"CAR2083","N/A","","CARBONOF MEXICO, S.A.P.I. DE C.V.","Ejido San Alonso","Carbono Forestal Ejido San Alonso","","","","Forestry - MX","Listed","Not ARB or WA ECO Eligible","Chihuahua, M�xico","CHIHUAHUA","MX","","","","","04/28/2025","","View","View","https://carbonof.com/en/ejido-san-alonso/",
"CAR1629","N/A","CARC1628","BRET Consultores","EJIDO SAN ANTONIO DE LOS MACEDO","Carbono Forestal Ejido San Antonio de los Macedo","","","","Forestry - MX","Registered","Not ARB or WA ECO Eligible","Mascota","JALISCO","MX","","1. No Poverty;2. Zero Hunger;6. Clean Water and Sanitation;8. Decent Work and Economic Growth;13. Climate Action;15. Life on Land","","20735","09/29/2022","07/07/2025","View","View","",
