"Program","Project ID","Project Name","Proponents","Authorized Representative Organization Name","Sectoral Scope","PUBLIC_VIEW_REPORTS_PROJECTS.pubReportsProjectsList.AFOLUActivities","Methodology","Estimated Average Annual Emission Reductions and Carbon Dioxide Removals","Sustainable Development Contributions","Validator","Region","Country","State/Province","Estimated Project Start Date","Crediting Period Duration Start Date","Crediting Period Duration End Date","Crediting Period Term","Project Registration Date","Status"
"Verified Carbon Standard","4593","Cycling the Change","Tembici Participações","","Transport","","AMS-III.BM. (Version NA)","1158","","Earthood Services Limited","Latin America","Brazil","Curitiba in Brazil and Bogotá in Colombia.","30 Sep 2022","30 Sep 2022","29 Sep 2029","1","","Registration request denied"
"Verified Carbon Standard","2261","CYY Biopower Wastewater treatment plant including biogas reuse for thermal oil replacement and electricity generation Project, Thailand","Chokyuenyong Industry Co. Ltd.","","Energy industries (renewable/non-renewable sources), Waste handling and disposal","","ACM0014 (Version 8)","84912","","KBS Certification Services Limited","Asia","Thailand","Nakhorn Ratchasima","03 Nov 2007","25 Mar 2019","24 Mar 2029","1","24 Aug 2020","Registered"
"Verified Carbon Standard","2296","CYY Global Plus Wastewater Treatment and Biogas Utilization Project","CYY Global Plus Co., Ltd.","","Energy industries (renewable/non-renewable sources), Waste handling and disposal","","ACM0014 (Version 8)","124097","","4K Earth Science Private Limited","Asia","Thailand","Surin Province","15 Sep 2019","15 Sep 2019","14 Sep 2026","1","14 May 2021","Registered"
"Verified Carbon Standard","4053","D.Light's Improved Cooking Project In Africa","d.light design, Ltd","","Energy demand","","VMR0006 (Version NA)","1115331","","Carbon Check (India) Private Ltd.","Africa","Kenya","","01 Oct 2022","01 Oct 2022","30 Sep 2029","1","","Under validation (Public comment period closed)"
"Verified Carbon Standard","4223","D.Light's Improved Cooking Project In Kenya","d.light design, Ltd","","Energy demand","","VMR0006 (Version NA)","38422","","Carbon Check (India) Private Ltd.","Africa","Kenya","","08 Sep 2022","08 Sep 2022","07 Sep 2029","1","30 Mar 2024","Registered"
"Verified Carbon Standard","4225","D.Light's Improved Cooking Project In Nigeria","d.light design, Ltd","","Energy demand","","VMR0006 (Version NA)","397068","","Carbon Check (India) Private Ltd.","Africa","Nigeria","","10 Jul 2023","10 Jul 2023","09 Jul 2030","1","30 Mar 2024","Registered"
"Verified Carbon Standard","4226","D.Light's Improved Cooking Project In Uganda","d.light design, Ltd","","Energy demand","","VMR0006 (Version NA)","621725","","Carbon Check (India) Private Ltd.","Africa","Uganda","","18 Apr 2023","18 Apr 2023","17 Apr 2030","1","16 Jan 2024","Registered"
"Verified Carbon Standard","1962","Daan Laifu Wind Farm Phase II Project","Credits transferred from approved GHG program","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version NA)","109116","","Bureau Veritas India Private Limited","Asia","Mainland China","Jilin Province","12 Dec 2011","17 Sep 2020","16 Sep 2027","2","17 Oct 2019","Late to Verify"
"Verified Carbon Standard","5364","DABACO Thanh Hoa Biogas recovery and utilization from Animal Manure Waste Management","DABACO Thanh Hoa Company Limited","","Energy industries (renewable/non-renewable sources), Waste handling and disposal","","AMS-I.F. (Version NA), AMS-III.D. (Version NA)","52569","","LGAI Technological Center, S.A. (Applus+ Certification)","Asia","Viet Nam","Vietnam","09 Oct 2023","09 Oct 2023","08 Oct 2030","1","","Under validation (Public comment period closed)"
"Verified Carbon Standard","3388","DABU COUNTY METHANE EMISSION REDUCTION IN RICE CULTIVATION PROJECT","Guangzhou Kaifeng Agricultural Technology Co., Ltd.","","Agriculture Forestry and Other Land Use","ALM","AMS-III.AU. (Version NA)","60000","","","Asia","Mainland China","Guangdong Province","20 Jul 2019","20 Jul 2019","19 Jul 2026","1","","Inactive"
"Verified Carbon Standard","166","Dachunhe Sanji 6MW Hydropower Project in Yunnan Province","Yunnan New View Power Co.,Ltd.","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version 13)","22668","","Tuev Sued Industrie Service GmbH (Tuev Sued)","Asia","Mainland China","Yunnan Province","01 Dec 2005","24 Apr 2007","23 Apr 2017","1","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","307","Daegu Bangcheon-Ri Landfill gas CDM Project","Daegu Metropolitan City","","Waste handling and disposal","","ACM0001 (Version NA)","404872","","First Environment, Inc. (First Environment)","Asia","Korea (Republic of)","Daegu Metropolitan City","10 Oct 2006","01 Aug 2021","31 Jul 2028","3","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","1333","Dagbasi Hydroelectric Power Plant","ALPEREN A.S. (PP)","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","20370","","Bureau Veritas India Private Limited","Asia","Turkey","Mersin","11 Apr 2014","11 Apr 2014","10 Apr 2024","1","06 Apr 2020","Registered"
"Verified Carbon Standard","794","Dahao Wind Power Project","China Resources Windpower Development (Shantou Haojiang) Co., Ltd.","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version 11)","40000","","Det Norske Veritas Climate Change Services AS (DNV)","Asia","Mainland China","Guangdong province","01 Jul 2009","01 Jul 2009","30 Jun 2019","1","06 Apr 2020","Registered"
"Verified Carbon Standard","2860","Dak Lak Wastewater Treatment with Biogas System and Methane Recovery","Multiple Project Proponents","","Waste handling and disposal","","AMS-III.H. (Version 19)","33233","","Earthood Services Limited","Asia","Viet Nam","Daklak Province","01 Feb 2023","01 Feb 2023","31 Jan 2030","1","28 Mar 2025","Registered"
"Verified Carbon Standard","880","Dak Pone Hydropower Project","PC3 - Investment Joint Stock Company","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version NA)","31778","","TUV Rheinland (China) Ltd.","Asia","Viet Nam","Kon Tum province","01 Jun 2010","02 Jun 2018","01 Jun 2025","2","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","1031","Dak Psi 3 and 4 Hydropower Project","Dak Psi Hydropower Investment and Development JSC","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version NA)","89961","","KBS Certification Services Limited","Asia","Viet Nam","Kon Tum","09 Oct 2010","09 Oct 2010","08 Oct 2020","1","06 Apr 2020","Registered"
"Verified Carbon Standard","635","Dak Rung Hydropower Project","Viet Nguyen Construction Works Joint Stock Company","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version NA)","7136","","TÜV NORD CERT GmbH","Asia","Viet Nam","Dak Song district, Dak Nong province","15 Apr 2009","16 Apr 2009","15 Apr 2019","1","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","971","Dak Srong 2 Hydropower Project","Tay Nguyen Hydropower Company Limited","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version 11)","44466","","Carbon Check (Pty) Ltd","Asia","Viet Nam","Kong Chro District, Gia Lai Province","30 Oct 2010","30 Oct 2010","29 Oct 2020","1","06 Apr 2020","Registered"
"Verified Carbon Standard","572","Dalian Maoyingzi Landfill Gas Recovery for Power Generation Project","Dalian PhasCon Technologies Co., Ltd.","","Waste handling and disposal","","ACM0001 (Version NA)","241053","","Tuev Sued Industrie Service GmbH (Tuev Sued)","Asia","Mainland China","Liaoning","08 Nov 2008","08 Nov 2015","07 Nov 2022","2","02 Mar 2011","Late to Verify"
"Verified Carbon Standard","5311","Dalian Wafangdian LFG Power Generation Project","Wafangdian Qinghong Environmental Protection Technology Co., Ltd.","","Energy industries (renewable/non-renewable sources), Waste handling and disposal","","ACM0001 (Version 19)","47890","","CTI Certification Co., Ltd.","Asia","Mainland China","Liaoning Province","14 Apr 2023","14 Apr 2023","13 Apr 2033","1","02 Dec 2025","Registered"
"Verified Carbon Standard","768","Dalmia Chini Mills Jawaharpur Project","Dalmia Bharat Sugar and Industries Limited (PP)","","Energy industries (renewable/non-renewable sources)","","ACM0006 (Version NA)","34581","","Det Norske Veritas Climate Change Services AS (DNV)","Asia","India","District Sitapur, Uttar Pradesh","14 Feb 2007","01 Apr 2011","31 Mar 2021","1","07 Feb 2012","Late to Verify"
"Verified Carbon Standard","795","Dalmia Chini Mills Nigohi Project","Dalmia Bharat Sugar and Industries Limited (PP)","","Energy industries (renewable/non-renewable sources)","","ACM0006 (Version NA)","32795","","Det Norske Veritas Climate Change Services AS (DNV)","Asia","India","Province: Uttar Pradesh, District: Shahjahanpur","24 Apr 2007","15 Jun 2011","14 Jun 2021","1","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","4102","Damao Banner Sustainable Grassland Management Project","Damao Banner Eco-Construction Investment Co., Ltd.","","Agriculture Forestry and Other Land Use","ALM","VM0026 (Version NA)","326639","","CTI Certification Co., Ltd.","Asia","Mainland China","Inner Mongolia Autonomous Region","24 Jun 2020","24 Jun 2020","23 Jun 2060","1","11 Sep 2024","Registered"
"Verified Carbon Standard","1066","Damlapinar Hydroelectric Power Plant Project","ENTEK ELEKTRIK URETIMI ANONIM SIRKETI (PP)","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version 13)","44292","","TUV Rheinland (China) Ltd.","Middle East","Turkey","Eastern Mediterranean region","24 Aug 2010","24 Aug 2010","23 Aug 2020","1","06 Apr 2020","Crediting Period Renewal Requested"
"Verified Carbon Standard","6051","DanAon Energy Keetmanshoop Solar PV Project","Multiple Project Proponents","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version NA), VMR0017 (Version 1)","98400","","","Africa","Namibia","","01 Jul 2027","01 Jul 2027","30 Jun 2037","1","","Pipeline listing requested (under development)"
"Verified Carbon Standard","6083","Dandakaranya Green Carbon","Iora Ecological Solutions Private Limited (PP)","","Agriculture Forestry and Other Land Use","ARR","VM0047 (Version NA)","194571","","","Asia","India","Karnataka, Telangana, Andhra Pradesh","30 Jun 2023","30 Jun 2023","29 Jun 2053","1","","Pipeline listing requested (under development)"
"Verified Carbon Standard","4707","Danish Crown Methane Destruction Voluntary Carbon Offset Group Project in Denmark  (PTB)","Multiple Project Proponents","","Livestock, enteric fermentation, and manure management","","AMS-III.D. (Version NA)","13532","","DNV Business Assurance India Pvt Ltd","Europe","Denmark","","26 May 2024","26 May 2024","25 May 2031","1","05 Nov 2025","Registered"
"Verified Carbon Standard","3948","Danjingshan Adjusted Water Management in Rice Cultivation","Sichuan Huixiang Ecological Agriculture Co., Ltd.","","Agriculture Forestry and Other Land Use","ALM","AMS-III.AU. (Version NA)","56653","","China Certification Center, Inc.","Asia","Mainland China","Sichuan Province","08 May 2020","08 May 2020","07 May 2030","1","","Inactive"
"Verified Carbon Standard","3310","Dansha Water Management with Rice Cultivation","Hainan Sunsea Ecological Agriculture Technology Co., Ltd.","","Agriculture Forestry and Other Land Use","ALM","AMS-III.AU. (Version NA)","59459","","China Testing & Certification International Group Co., Ltd. (CTC)","Asia","Mainland China","Hainan Province","29 Mar 2018","29 Mar 2018","28 Mar 2025","1","","Rejected by Administrator"
"Verified Carbon Standard","506","DARICA-1 99 MW Hydro Power Plant Project, Turkey","Bilgin Guc Santralleri Enerji Uretim A.S. (PP)","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version 7)","209722","","SGS United Kingdom Ltd. (SGS)","Asia","Turkey","Ordu Province","10 Oct 2009","10 Oct 2009","09 Oct 2019","1","06 Apr 2020","Registered"
"Verified Carbon Standard","607","Darkwoods Forest Carbon Project","Nature Conservancy of Canada","","Agriculture Forestry and Other Land Use","IFM","VM0012 (Version 1.2)","124847","","Rainforest Alliance, Inc. (Rainforest Alliance)","North America","Canada","BC","01 Apr 2008","01 Apr 2008","31 Mar 2108","1","06 Apr 2020","Registered"
"Verified Carbon Standard","804","Datang Jilin Shuangliao Wind Farm Project","Climate Change Capital Carbon Fund S.a.r.l.","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version NA)","103585","","Det Norske Veritas Climate Change Services AS (DNV)","Asia","Mainland China","Jilin","05 Oct 2006","01 Apr 2021","31 Mar 2028","3","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","3414","DATIAN AREA ENPING CITY METHANE EMISSION REDUCTION IN RICE CULTIVATION PROJECT","Guangzhou Kaifeng Agricultural Technology Co., Ltd.","","Agriculture Forestry and Other Land Use","ALM","AMS-III.AU. (Version NA)","53987","","","Asia","Mainland China","Guangdong Province","20 Jul 2019","20 Jul 2019","19 Jul 2026","1","","Inactive"
"Verified Carbon Standard","823","Datong River Tianwanggou Hydropower Station","GEPIC Darong Electric Power Company Ltd.","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version 7)","179797","","Tuev Sued Industrie Service GmbH (Tuev Sued)","Asia","Mainland China","Gansu Province","20 Jun 2008","01 Oct 2009","30 Sep 2019","1","06 Apr 2020","Registered"
"Verified Carbon Standard","817","Datong River Zhuchaxia Hydropower Station","GEPIC Darong Electric Power Company Ltd.","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version 7)","121617","","Tuev Sued Industrie Service GmbH (Tuev Sued)","Asia","Mainland China","Gansu Province","24 Mar 2008","01 Oct 2009","30 Sep 2019","1","06 Apr 2020","Registered"
"Verified Carbon Standard","177","Datteln-Methan 1, Utilization of Coalmine Methane","Carbon-TF B.V.","","Mining/mineral production","","ACM0008 (Version NA)","62754","","TÜV NORD CERT GmbH","","Germany","","01 Jun 2004","06 Apr 2020","05 Apr 2030","1","06 Apr 2020","Late to Verify"
"Verified Carbon Standard","2414","Davidson County Landfill","ANEW ENVIRONMENTAL, LLC (PP)","","Energy industries (renewable/non-renewable sources), Waste handling and disposal","","CAR - USLP (Version NA)","50000","","GHD Limited","North America","United States of America","NC","20 May 2009","01 Jan 2022","31 Dec 2028","2","27 Jul 2021","Registered"
"Verified Carbon Standard","5337","De Aar Hydra Storage","Multiple Project Proponents","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version 22)","418587","","Carbon Check (India) Private Ltd.","Africa","South Africa","Northern Cape","30 Sep 2025","30 Sep 2025","29 Sep 2032","1","26 Jan 2026","Registered"
"Verified Carbon Standard","5536","Decarb.earth RSA Solar","Multiple Project Proponents","","Energy industries (renewable/non-renewable sources)","","AMS-I.F. (Version NA)","50000","","SGS INDIA PRIVATE LIMITED","Africa","South Africa","Entire Country","01 Jul 2023","01 Jul 2023","30 Jun 2030","1","","Under validation (Public comment period closed)"
"Verified Carbon Standard","5943","DECARBONISATION OF THE BUILT ENVIRONMENT IN THE UNITED KINGDOM","PNZ  CARBON LIMITED","","Energy demand","","VM0018 (Version NA)","100000","","Earthood Services Limited","Europe","United Kingdom","nationwide","01 Jul 2024","01 Jul 2024","30 Jun 2031","1","","Under validation (Public comment period closed)"
"Verified Carbon Standard","4534","Decarbonisation of UK Homes","Arniston Ltd, trading as Snugg (PP)","","Energy demand","","VM0008 (Version 1.1)","829505","","Earthood Services Limited","Europe","United Kingdom","","01 Jan 2024","01 Jan 2024","31 Dec 2030","1","","Under validation (Public comment period closed)"
"Verified Carbon Standard","5596","Decentral Energy Group Project","Fuel Switch SA (Pty) Ltd","","Energy industries (renewable/non-renewable sources)","","AMS-I.F. (Version NA)","28500","","Carbon Check (India) Private Ltd.","Africa","South Africa","Gauteng","01 Jan 2024","01 Jan 2024","31 Dec 2030","1","","Under validation (Public comment period closed)"
"Verified Carbon Standard","3483","Decentralized Municipal Solid Waste to Compost Formation Project","Envro Queen Private Limited (PP)","","Waste handling and disposal","","ACM0022 (Version NA)","8025425","","","Asia","India","Madhya Pradesh","16 Nov 2020","16 Nov 2020","15 Nov 2027","1","","Pipeline listing (under development) approved"
"Verified Carbon Standard","4077","Deeg Forest Carbon Project","Deeg Timberland LTD","","Agriculture Forestry and Other Land Use","IFM","VM0034 (Version NA)","9418","","TÜV NORD CERT GmbH","North America","Canada","NB","13 Apr 2021","13 Apr 2021","12 Apr 2051","1","","Under validation (Public comment period closed)"
"Verified Carbon Standard","2741","Dekang AWMS GHG Mitigation Project in Guizhou Province","DEKON FOOD AND AGRICULTURE GROUP (PP)","","Energy industries (renewable/non-renewable sources), Livestock, enteric fermentation, and manure management, Waste handling and disposal","","ACM0010 (Version NA)","427200","","CTI Certification Co., Ltd.","Asia","Mainland China","Guizhou Province","30 Jun 2020","30 Jun 2020","29 Jun 2030","1","01 Sep 2022","Registered"
"Verified Carbon Standard","2740","Dekang AWMS GHG Mitigation Project in Sichuan Province","DEKON FOOD AND AGRICULTURE GROUP (PP)","","Energy industries (renewable/non-renewable sources), Livestock, enteric fermentation, and manure management, Waste handling and disposal","","ACM0010 (Version 8)","456897","","CTI Certification Co., Ltd.","Asia","Mainland China","Sichuan Province","22 Jun 2020","22 Jun 2020","21 Jun 2030","1","01 Sep 2022","Registered"
"Verified Carbon Standard","2749","DelAgua Clean Cooking Grouped Project","DelAgua Health Rwanda (Voluntary) Limited","","Energy demand, Energy industries (renewable/non-renewable sources)","","VMR0006 (Version 1.1)","545712","","Earthood Services Limited","Africa","Rwanda","Rwanda","01 Jan 2019","01 Jan 2019","31 Dec 2025","1","08 Feb 2023","Registered"
"Verified Carbon Standard","4275","DelAgua Clean Cooking Grouped Project in Benin","DelAgua Health Rwanda (Voluntary) Limited. (PP)","","Energy demand","","VMR0006 (Version NA)","484479","","","Africa","Benin","","01 Jun 2023","01 Jun 2023","31 May 2030","1","","Pipeline listing requested (under development)"
"Verified Carbon Standard","3834","DelAgua Clean Cooking Grouped Project in Burundi","DelAgua Health Rwanda (Voluntary) Limited","","Energy demand","","VMR0006 (Version NA)","7127196","","Carbon Check (India) Private Ltd.","Africa","Burundi","Bujumbura Mairie Province","15 Nov 2022","15 Nov 2022","14 Nov 2029","1","","Under validation (Public comment period closed)"
"Verified Carbon Standard","4276","DelAgua Clean Cooking Grouped Project in Liberia","DelAgua Health Rwanda (Voluntary) Limited. (PP)","","Energy demand","","VMR0006 (Version NA)","581176","","","Africa","Liberia","","01 Jun 2023","01 Jun 2023","31 May 2030","1","","Pipeline listing requested (under development)"
"Verified Carbon Standard","4150","DelAgua Clean Cooking Grouped Project in Rwanda","Multiple Project Proponents","","Energy demand","","VM0050 (Version NA), VMR0006 (Version NA)","2123460","","Earthood Services Limited","Africa","Rwanda","","11 Oct 2021","11 Oct 2021","10 Oct 2028","1","15 Feb 2024","Verification approval requested"
"Verified Carbon Standard","4277","DelAgua Clean Cooking Grouped Project in Senegal","DelAgua Health Rwanda (Voluntary) Limited. (PP)","","Energy demand","","VMR0006 (Version NA)","449495","","","Africa","Senegal","","01 Jun 2023","01 Jun 2023","31 May 2030","1","","Pipeline listing requested (under development)"
"Verified Carbon Standard","3837","DelAgua Clean Cooking Grouped Project in Sierra Leone","DelAgua Health Sierra Leone (Voluntary) Limited (PP)","","Energy demand","","VMR0006 (Version 1.1)","68446","","Carbon Check (India) Private Ltd.","Africa","Sierra Leone","Freetown","22 Feb 2023","22 Feb 2023","21 Feb 2030","1","14 Aug 2024","Verification approval requested"
"Verified Carbon Standard","4000","DelAgua Clean Cooking Grouped Project in The Gambia","DelAgua Health The Gambia (Voluntary) Limited (PP)","","Energy demand","","VM0050 (Version NA), VMR0006 (Version NA)","806956","","Carbon Check (India) Private Ltd.","Africa","Gambia","","23 Feb 2023","23 Feb 2023","22 Feb 2030","1","21 Oct 2024","Verification approval requested"
"Verified Carbon Standard","4278","DelAgua Clean Cooking Grouped Project in Uganda","DelAgua Health Rwanda (Voluntary) Limited. (PP)","","Energy demand","","VMR0006 (Version NA)","499961","","","Africa","Uganda","","01 Jun 2023","01 Jun 2023","31 May 2030","1","","Pipeline listing (under development) approved"
"Verified Carbon Standard","3699","DelAgua Improved Cookstove Grouped Project","DelAgua Trans Africa Stoves Pte. Ltd. (PP)","","Energy demand","","VM0050 (Version 1)","971601","","Earthood Services Limited","Africa","Rwanda","Kigali Province","04 Nov 2022","04 Nov 2022","03 Nov 2029","1","27 Nov 2024","Verification approval requested"
"Verified Carbon Standard","2400","DelAgua Public Health Program in Eastern Africa - CER Conversion","Converted From a another GHG program CDM","","Energy demand","","AMS-II.G. (Version NA)","67656","","Det Norske Veritas Climate Change Services AS (DNV)","Africa","Rwanda","","02 Aug 2012","15 Sep 2014","14 Sep 2021","1","","Units transferred from approved GHG program"
"Verified Carbon Standard","5063","Delta Blue Carbon 2","Blue Carbon Singapore Pte Limited (PP)","","Agriculture Forestry and Other Land Use","ARR,WRC","VM0033 (Version NA)","2013864","","AENOR CONFIA, S.A. (UNIPERSONAL)","Asia","Pakistan","","14 Aug 2023","14 Aug 2023","13 Aug 2083","1","","Under validation (Public comment period closed)"
"Verified Carbon Standard","2250","Delta Blue Carbon – 1","Multiple Project Proponents","","Agriculture Forestry and Other Land Use","ARR,WRC","VM0033 (Version NA)","2407629","","Colombian Institute for Technical Standards and Certification (ICONTEC)","Asia","Pakistan","Sindh","19 Feb 2015","19 Feb 2015","18 Feb 2075","1","20 Dec 2021","Registered"
"Verified Carbon Standard","5834","Delta Kapuas Project","PT Belantara Sejahtera Mandiri (PP)","","Agriculture Forestry and Other Land Use","ARR,REDD,WRC","VM0007 (Version NA), VM0033 (Version NA), VM0047 (Version NA), VM0048 (Version NA)","2438716","","","Asia","Indonesia","West Kalimantan","01 Jan 2023","01 Jan 2023","31 Dec 2086","1","","Pipeline listing (under development) approved"
"Verified Carbon Standard","780","Dempsey Ridge Wind Project","Dempsey Ridge Wind Farm, LLC","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version NA)","312658","","GHD Limited","North America","United States of America","OK","12 Oct 2010","15 Dec 2011","14 Dec 2021","1","10 Jan 2012","Late to Verify"
"Verified Carbon Standard","1623","Denizli Bundled Solar Project","Yesilvadi Elektrik Üretim A.S.","","Energy industries (renewable/non-renewable sources)","","AMS-I.D. (Version 18)","6818","","Bureau Veritas India Private Limited","Asia","Turkey","Acıpayam state in Denizli province","25 May 2015","25 May 2015","24 May 2025","1","06 Apr 2020","Registered"
"Verified Carbon Standard","3068","DENIZLI ENERGY BIOGAS PLANT","DENİZLİ BİYOGAZ ENERJİ ÜRETİM ANONİM ŞİRKETİ","","Energy industries (renewable/non-renewable sources), Waste handling and disposal","","AM0073 (Version NA)","234821","","Tuev Sued Industrie Service GmbH (Tuev Sued)","Middle East","Turkey","Denizli","03 Jun 2021","03 Jun 2021","02 Jun 2028","1","22 Nov 2024","Registered"
"Verified Carbon Standard","1908","Denizli Wind Power Project, Turkey","Korda Enerji Uretim Pazarlama Ithalat ve Ihracat A.S.","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version 19)","105524","","RINA Services S.p.A","Asia","Turkey","Denizli Province","13 Sep 2019","13 Sep 2019","12 Sep 2029","1","11 Jan 2022","Verification approval requested"
"Verified Carbon Standard","3736","Denkoh Dairy Cows Manure Composting Project","Dengkou County Yuantai Livestock Industry Co.Ltd.","","Waste handling and disposal","","AMS-III.F. (Version NA)","59553","","China Quality Certification Center (CQC)","Asia","Mainland China","Inner Mongolia","01 Aug 2021","01 Aug 2021","31 Jul 2031","1","","Under validation (Public comment period closed)"
"Verified Carbon Standard","1758","Dereli Hydroelectric Power Plant","Aydem Yenilenebilir Enerji A.S. (PP)","","Energy industries (renewable/non-renewable sources)","","ACM0002 (Version 16)","69489","","RINA Services S.p.A","Asia","Turkey","Gökçebel district of Giresun province","10 Jan 2014","10 Jan 2024","09 Jan 2034","2","25 Apr 2018","Registered"
"Verified Carbon Standard","3335","Developing a voluntary carbon market project for Pench Tiger Reserve in India","Tiger Conservation Foundation of Pench Tiger Reserve (TCFP)","","Agriculture Forestry and Other Land Use","ARR,REDD","VM0037 (Version NA)","56845","","","Asia","India","Maharashtra","01 Oct 2017","01 Oct 2017","30 Sep 2047","1","","Pipeline listing (under development) approved"
"Verified Carbon Standard","5813","Developing a Voluntary Carbon Market Project with FPOs for Agroforestry Plantation in Saharanpur District of Uttar Pradesh, India","New Agri Bio Energy Producer Co. Ltd, Saharanpur","","Agriculture Forestry and Other Land Use","ARR","VM0047 (Version NA)","54161","","","Asia","India","Uttar Pradesh","17 Jan 2023","17 Jan 2023","16 Jan 2063","1","","Pipeline listing (under development) approved"
"Verified Carbon Standard","3346","DEVELOPING CARBON FINANCE PROJECT FOR FARMERS ADOPTING REGENERATIVE AGRICULTURE PRACTICES IN THE INDO-GANGETIC PLAINS","KHETI PTE. LTD. (PP)","","Agriculture Forestry and Other Land Use","ALM","VM0042 (Version NA)","163441","","Earthood Services Limited","Asia","India","Punjab, Haryana","01 Jun 2019","01 Jun 2019","31 May 2039","1","18 Apr 2026","Registered"
"Verified Carbon Standard","3296","Developing Carbon Finance Project for Van Panchayats in Soil Conservation  Forest Division Nainital (Uttarakhand)","Multiple Project Proponents","","Agriculture Forestry and Other Land Use","REDD","VM0037 (Version NA)","22573","","","Asia","India","Uttarakhand","15 Dec 2018","15 Dec 2018","14 Dec 2038","1","","Pipeline listing (under development) approved"
"Verified Carbon Standard","3295","Developing Carbon Finance Project For Van Panchayats In Soil Conservation  Forest Division Ranikhet (Uttarakhand)","Multiple Project Proponents","","Agriculture Forestry and Other Land Use","REDD","VM0037 (Version NA)","40742","","","Asia","India","Uttarakhand","15 Jan 2018","15 Jan 2018","14 Jan 2038","1","","Pipeline listing (under development) approved"
"Verified Carbon Standard","4458","DEVELOPING CARBON PROJECT FOR FARMERS ADOPTING REGENERATIVE AGRICULTURAL PRACTICES IN GUJARAT STATE","Multiple Project Proponents","","Agriculture Forestry and Other Land Use","ALM","VM0042 (Version NA)","57329","","Carbon Check (India) Private Ltd.","Asia","India","","09 Jun 2020","09 Jun 2020","08 Jun 2040","1","01 May 2026","Registered"
"Verified Carbon Standard","3360","Developing climate resilience of the coastal communities of Sundarbans through Mangrove Afforestation","Multiple Project Proponents","","Agriculture Forestry and Other Land Use","ARR,WRC","AR-AM0014 (Version NA)","29782","","Carbon Check (India) Private Ltd.","Asia","India","West Bengal","28 Aug 2021","28 Aug 2021","27 Aug 2041","1","15 Jan 2025","Registered"
"Verified Carbon Standard","4459","Developing Climate Resilience Of The Residential Society In Hyderabad Through Miyawaki Afforestation: Urban Forest Development","SOW AND REAP AGRO PVT LTD (PP)","","Agriculture Forestry and Other Land Use","ARR","VM0047 (Version NA)","580","","RINA Services S.p.A","Asia","India","","23 May 2021","23 May 2021","22 May 2051","1","","Registration and verification approval requested"
"Verified Carbon Standard","3819","DEVELOPING VOLUNTARY CARBON MARKET  PROJECT FOR FARMERS ADOPTNG  ALTERNATE WETTING AND DRYING (AWD)  METHOD FOR RICE CULTIVATION","Varaha ClimateAg Private Limited (PP)","","Agriculture Forestry and Other Land Use","ALM","AMS-III.AU. (Version NA)","48853","","","Asia","India","Haryana","01 May 2022","01 May 2022","30 Apr 2029","1","","Inactive"
"Verified Carbon Standard","3114","Developing voluntary carbon market project for Dudhwa Tiger Reserve in India","Multiple Project Proponents","","Agriculture Forestry and Other Land Use","REDD","VM0037 (Version NA)","358584","","","Asia","India","Uttar Pradesh","01 Oct 2018","01 Oct 2018","30 Sep 2048","1","","Pipeline listing (under development) approved"
"Verified Carbon Standard","3347","Developing voluntary carbon market project for Periyar Tiger Reserve in India","Periyar Tiger Conservation Foundation (PTCF)","","Agriculture Forestry and Other Land Use","REDD","VM0037 (Version NA)","190217","","","Asia","India","Kerala","01 Oct 2018","01 Oct 2018","30 Sep 2048","1","","Pipeline listing (under development) approved"
"Verified Carbon Standard","3365","Developing Voluntary Carbon market project for Sundarban Tiger Reserve in India","Sundarban Tiger Conservation Foundation Trust (STCFT)","","Agriculture Forestry and Other Land Use","ARR,WRC","VM0033 (Version NA)","16449","","Carbon Check (India) Private Ltd.","Asia","India","West Bengal","03 Sep 2018","03 Sep 2018","02 Sep 2058","1","","Registration requested"
"Verified Carbon Standard","5309","Developing Voluntary Carbon Market Project Through Mangrove Plantation in Gujarat","Gujarat Ecological Commission (GEC)","","Agriculture Forestry and Other Land Use","ARR,WRC","VM0033 (Version NA)","69627","","","Asia","India","Gujarat","10 Jan 2022","10 Jan 2022","09 Jan 2062","1","","Pipeline listing (under development) approved"
