,Project ID,Project Name,Country,Other Countries Involved,Methodology,Project Size,Investment Analysis Option,Barrier Analysis,Emission Factor Data Vintage,Emission Factor Weights,Validator,Estimated Emission Reductions,Actual Emission Reductions
0,IGES06570,Gansu Zhuoni Niuzi 30MW Hydropower Project,China,"Netherlands, Kingdom of the",ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,DNV-CUK,1605721.5616438356,696212.0
456,IGES11453,Hebei Chengde Weichang Yudaokou Ruyihe Wind Power Project,China,Sweden,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,LGAI,7708883.0,2444566.0
457,IGES09053,Electricity generation from renewable sources (wind) – Windfarm Complex Morro dos Ventos,Brazil,"Netherlands, Kingdom of the",ACM0002;,LARGE,Benchmark Analysis,None,ex post,0.75:0.25,Earthood,5026308.0,1307235.0
458,IGES11779,Jingneng Wujiaqu 20MWp Photovoltaic Power Plant Phase I Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,CTI,445809.0,0.0
459,IGES11777,Jingneng Wujiaqu 20MWp Photovoltaic Power Plant Phase II Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,CTI,476560.0,0.0
460,IGES09619,Huaneng Guangdong Raoping Dacheng Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,CCCI,1584338.0000000002,401131.0
461,IGES03751,Piedra Larga Wind Farm,Mexico,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,AENOR,4910406.093663912,998398.0
462,IGES09269,Huaneng Tongliao Baolongshan Phase IV Wind Farm Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV,1339755.4380165287,0.0
463,IGES00612,Los Santos Wind Power Project,Costa Rica,Germany,AMS-ID;,SMALL,None,done,ex ante,0.75:0.25,ERM-CVS,263900.0,68123.0
464,IGES11525,"Wind Power Project at Tadas, Karnataka",India,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,RINA,1967874.9999999998,570925.0
465,IGES08971,Thac Xang Hydropower Project,Viet Nam,Sweden,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,JCI,1223376.0,209114.0
466,IGES02157,CTR Candeias Landfill Gas Project,Brazil,No Additional Countries,ACM0001;,LARGE,Benchmark Analysis,None,ex post,0.25:0.75,ERM-CVS,4132150.0410958906,1374593.0
467,IGES11278,Huaneng Haiyang Guocheng Phase I Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,CQC,1729252.0,0.0
468,IGES04929,Huaneng Guizhou Jiucaiping Phase I Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVQI,1446998.0,131284.0
469,IGES02908,Huaneng Shandong Rongcheng Chudao Wind Power Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV-CUK,1662147.7726027397,124933.0
470,IGES11189,Shanxi Huaneng Yuanping Duanjiapu Wind Farm Phase II 49.5 MW Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVQI,1834889.0,0.0
471,IGES11177,Ningxia Tongxin (Zhangjiayuan Sutai) Huifeng Wind Power Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,TUEV-SUED,1630832.0,0.0
472,IGES02913,Huaneng Shanxi Tianzhen Phase I Wind Power Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,SGS-UKL,1661933.0383561642,87342.0
473,IGES02912,Huaneng Shanxi Pianguan Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,SGS-UKL,1761053.0,53131.0
474,IGES10197,Tianrun Laixi Nanshu Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,ERM-CVS,1297051.0,461929.0
475,IGES08894,Huaneng Maoming Phase II Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVQI,2166611.9999999995,415024.0
476,IGES10040,Inner Mongolia Jingneng Huitengxile Wind Farm Phase II Project,China,Finland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,CQC,1507912.0000000002,0.0
477,IGES11534,Huaneng Lijin Phase I Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVQI,1823815.0,0.0
478,IGES09355,Huaneng Tongliao Nugusitai Jingguan Wind Farm Project,China,"Netherlands, Kingdom of the",ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,CQC,4335716.0,1524438.0
479,IGES11862,Datang Tulufan 20MW Solar Power Plant Phase I Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,ERM-CVS,483412.99999999994,0.0
480,IGES10682,Ningxia Tongxin (Magaozhuang Laijiawa) Datang Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,ERM-CVS,1657578.9999999998,0.0
481,IGES11175,Ningxia Tongxin (Zhangjiayuan Haitanghu) Huifeng Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,TUEV-SUED,1561357.0000000002,0.0
482,IGES04183,"Sichuan Huadian Xixi River Hydro-electricity Development Co., Ltd. Luogu Hydroelectric Project",China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,LRQA Ltd,5650477.0,0.0
483,IGES08878,Huaneng Jimo Fengcheng Phase I Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,SGS-UKL,1703127.9999999998,0.0
484,IGES07032,"Methane Recovery in Wastewater Treatment, Project AIN07-W-05, Sumatera Utara, Indonesia",Indonesia,Multiple Additional Countries,AMS-IIIH;,SMALL,None,done,N.A.,N.A.,TUEV-SUED,806056.9999999999,74963.0
485,IGES10737,Gansu Jinchang Xitan Wind Farm Project,China,France,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,CCSC_DOE,1715804.380821918,89855.0
486,IGES01759,Biogas Support Program - Nepal Activity-4,Nepal,No Additional Countries,AMS-IE;,SMALL,None,done,N.A.,N.A.,RWTUV,1449913.3205479453,556021.0
487,IGES07560,Shandong Huaneng Shouguang 49.5MW Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,TUEV-RHEIN,1847474.9999999998,232881.0
488,IGES04449,Tuppadahalli Wind Energy Project,India,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVQI,2700033.0,0.0
489,IGES00822,10MW biomass power plant at Sangli by Sinewave Power,India,United Kingdom of Great Britain and Northern Ireland,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.25:0.75,DNV-CUK,1167670.0,0.0
490,IGES10679,Ningxia Tongxin (Zhangjiayuan Xianyazi) Datang Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,ERM-CVS,1669486.0000000002,0.0
491,IGES08916,Datang Jilin Datong 49.5 MW Windfarm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,JQA,1940022.0000000002,0.0
492,IGES08342,Inner Mongolia Chifeng Wenggenshan 49.5MW Wind Farm Project,China,Finland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,CQC,2089042.021917808,56268.0
493,IGES02910,Huaneng Shandong Shouguang Phase III Wind Power Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,TUEV-RHEIN,1767638.591780822,91002.0
494,IGES02909,Huaneng Shandong Shouguang Phase II Wind Power Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,TUEV-RHEIN,1755821.1041095892,94885.0
495,IGES11619,Chifeng Wengniuteqi Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,HKQAA_DOE,2118186.0,0.0
496,IGES04735,Yichun Xinqing Laobaishan Windpark First Stage 30MW Wind Power Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,TUEV-RHEIN,1332310.0000000002,368118.0
497,IGES09085,Huaneng Inner Mongolia Chenbaerhuqi Daliang Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV-CUK,2192008.0000000005,0.0
498,IGES05034,(ABGSPL): Methane recovery in waste water treatment & Methane/Biomass Energy Generation Project,India,"Netherlands, Kingdom of the",AMS-IC;,SMALL,Investment Comparison Analysis,done,ex ante,0.25:0.75,DNV-CUK,596802.3671232878,194192.0
499,IGES08981,Huaneng Inner Mongolia Manzhouli Donghu Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV-CUK,2210921.9999999995,0.0
500,IGES08817,Huaneng Fubei Liangguanyingzi Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,CQC,2061836.0000000002,0.0
501,IGES08673,Huaneng Tieling Pingdingpu Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,ERM-CVS,1986719.0,0.0
502,IGES09054,Zhangbei Wudengshan Wind Farm Phase II Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV-CUK,1972789.0,37578.0
503,IGES02902,Huaneng Jilin Taobei Phase III Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVQI,2051697.9424657533,87849.0
504,IGES02163,CWI Shangyi Shijing Wind Farm Phase I Project,China,Spain,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV-CUK,1908828.8602739726,0.0
505,IGES11583,Huaneng Dingbian Langergou Wind Farm Project,China,No Additional Countries,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.75:0.25,BVQI,288239.0,102891.0
506,IGES10662,Datang Changqing Phase II Wind Power Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,JQA,1716925.0000000002,0.0
507,IGES04907,Blue Fire Bio wastewater treatment and biogas utilization project,Thailand,Switzerland,AMS-ID; AMS-IIIH;,SMALL,Benchmark Analysis,done,ex ante,0.25:0.75,TUEV-RHEIN,1201455.104109589,94755.0
508,IGES08698,Gansu Guazhou Qiaowan Second Phase Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV-CUK,7532224.0,0.0
509,IGES04832,Zhangbei Wudengshan Wind Farm Phase I Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV-CUK,1999655.0,41228.0
510,IGES08517,Huaneng Yunnan Eryuan Huangcaopo Wind Farm Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVQI,1702694.0,0.0
511,IGES09657,Huaneng Wuchuan Houwantu Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV-CUK,1888096.0,0.0
512,IGES06835,"150 MW grid connected Wind Power based electricity generation project in Gujarat, India",India,Sweden,ACM0002;,LARGE,Benchmark Analysis,done,ex ante,0.75:0.25,BVQI,6763126.999999999,1275312.0
513,IGES00772,Alto Tuluá Minor Hydroelectric Power Plant,Colombia,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,done,ex post,0.25:0.75,AENOR,673320.608219178,119430.0
514,IGES06052,"Jorethang Loop Hydroelectric Project, India",India,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,DNV-CUK,8732319.712328767,337258.0
515,IGES11944,Tuokexun Wind Farm Phase III Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,CQC,1598961.0,0.0
516,IGES02038,Chantaburi Starch Wastewater Treatment and Biogas Utilization Project,Thailand,Switzerland,AMS-IC; AMS-ID; AMS-IIIH;,SMALL,Benchmark Analysis,done,ex ante,0.25:0.75,TUEV-RHEIN,767977.4191780821,0.0
517,IGES07286,Nam Gion Hydropower Project,Viet Nam,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,RWTUV,1282258.515068493,0.0
518,IGES08505,Inner Mongolia Wuliji Phase II Wind Power Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,TUEV-RHEIN,2223977.0,0.0
519,IGES00622,Dingbian Zhangjiashan Wind Farm Phase I Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV-CUK,1535625.0,0.0
520,IGES09126,Dingbian Zhangjiashan Wind Farm Phase II Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV-CUK,1621361.0,0.0
521,IGES04868,Monte Redondo Wind Farm Project,Chile,"Netherlands, Kingdom of the",ACM0002;,LARGE,Benchmark Analysis,done,ex ante,0.75:0.25,TUEV-RHEIN,1654924.8438356165,489645.0
522,IGES07710,Bionersis LFG projects Colombia 4 (Cucuta & Manizales),Colombia,France,ACM0001;,LARGE,Simple Cost Analysis,None,N.A.,N.A.,SQS,2564386.9999999995,0.0
523,IGES06064,Montevideo Landfill Gas Capture and Flare Project,Uruguay,Spain,ACM0001;,LARGE,Simple Cost Analysis,None,N.A.,N.A.,DNV-CUK,4075568.0,246077.0
524,IGES04778,Yunnan Luxi Liziqing Wind Power Project,China,"Netherlands, Kingdom of the",ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,CEC,1865091.4712328764,380937.0
525,IGES09722,Nam Chim Hydro Power Project,Viet Nam,Multiple Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,KBS_Cert,1012354.0,348169.0
526,IGES05000,Bajo Tuluá Minor Hydroelectric Power Plant,Colombia,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,done,ex ante,0.25:0.75,AENOR,693092.8657534247,74875.0
527,IGES07341,Yan Tann Sien Hydropower Project,Viet Nam,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,RWTUV,1238279.0,0.0
528,IGES09906,"LFG flaring project at Dubai, UAE",United Arab Emirates,No Additional Countries,ACM0001;,LARGE,Simple Cost Analysis,None,N.A.,N.A.,SGS-UKL,7077070.0,1302305.0
529,IGES03513,Metro Group Energy WWT Project,Thailand,Switzerland,AMS-IC; AMS-ID; AMS-IIIH;,SMALL,None,done,ex ante,0.25:0.75,BVQI,1142997.0493150684,106979.0
530,IGES06724,Curva de Rodas and La Pradera landfill gas management project,Colombia,United Kingdom of Great Britain and Northern Ireland,ACM0001;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,4KES,4404273.238356165,1028866.0
531,IGES11212,"Wind Power Project at Vaspet, Maharashtra",India,"Netherlands, Kingdom of the",ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVQI,1994244.0,667593.0
532,IGES11018,Wind power project in Tamil Nadu by SWPPL,India,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVQI,4518611.999999999,1386523.0
533,IGES04836,Zhanjiang Biomass Power Generation Project in Guangdong Province,China,Switzerland,ACM0018;,LARGE,Benchmark Analysis,done,ex ante,0.25:0.75,DNV-CUK,5882685.564383562,0.0
534,IGES02174,"Dak Mi 4 Hydropower Project, Vietnam",Viet Nam,Switzerland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,SQS,12313341.347945206,1670459.0
535,IGES02185,"DakRTih Hydropower Project, Vietnam",Viet Nam,Switzerland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,SQS,10317911.002739724,4183841.0
536,IGES08380,Huaneng Shanxi Yuanping Duanjiapu Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVQI,1712975.101369863,0.0
537,IGES04204,Sichuan Lingguan 76MW Hydropower Project,China,Japan,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,TUEV-SUED,4576873.506849316,508371.0
538,IGES11489,"Wind Power Project at Jath, Maharashtra",India,"Netherlands, Kingdom of the",ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,RINA,3240027.0,1047182.0
539,IGES11432,Shandong Pingdu Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,CQC,1618260.0,0.0
540,IGES10497,"Wind Power Project at Rajkot, Gujarat",India,"Netherlands, Kingdom of the",ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,LRQA Ltd,1003660.0000000001,136231.0
541,IGES09810,Jiangxi Laoyemiao Wind Farm Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV-CUK,1706333.9999999998,0.0
542,IGES08604,Datang Jiaonan Liuwang Phase I Wind Farm Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,TUEV-RHEIN,1734796.0,0.0
543,IGES08504,Datang Jiaonan Liuwang Phase II Wind Farm Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,TUEV-RHEIN,1729364.0,0.0
544,IGES07170,Jiangxi Jiujiang Changling Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,RWTUV,1274867.9999999998,218704.0
545,IGES02974,"Hydro-based power generation project by New Asian Infrastructure Development Private Limited in Maharashtra, India",India,No Additional Countries,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.25:0.75,LRQA Ltd,330518.1835616438,65933.0
546,IGES08301,Jilin Zhenlai Heiyupao Phase II Wind Farm Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV-CUK,2072322.0,0.0
547,IGES09373,"Sichuan Huadian Xixi River Hydro-electricity Development Co.,Ltd. Lianbu Hydroelectric Project",China,Switzerland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,KFQ,6633620.0,0.0
548,IGES09100,Huaneng Shanghai Chongming Qianwei Phase II Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVQI,1282708.0,0.0
549,IGES09635,Datang Qixia Zangjiazhuang Garden Wind Farm Project,China,Switzerland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,CQC,1645497.0000000002,0.0
550,IGES04858,Zhuhai Gaolan Island Windfarm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,TUEV-RHEIN,1505913.8164383562,0.0
551,IGES00993,Za Hung Hydropower Project,Viet Nam,Switzerland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,BVQI,1967850.947945206,668744.0
552,IGES11497,Yueshuidian Buerjin Chengnan 49.5MW Phase I Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,TECO,1933309.0,0.0
553,IGES08297,Jilin Zhenlai Phase II Wind Farm Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV-CUK,2046652.9999999995,0.0
554,IGES11570,Gongcheng Xiling Wind Power Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,CEC,1347031.0,0.0
555,IGES09488,Datang Pingyin Phase I Wind Power Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,TUEV-SUED,1668562.0,0.0
556,IGES02206,Datang New Energy Wangtuan Phase One Wind Power Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV-CUK,1656270.0,0.0
557,IGES08440,Huaneng Yunnan Eryuan Ganhaizi Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVQI,1398250.0,0.0
558,IGES10434,"Datang Delingha Renewable Power Co., Ltd. Delingha 10MW Grid-connected Photovoltaic Power Project",China,No Additional Countries,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.75:0.25,CQC,322980.0,0.0
559,IGES07697,Jilin Songyuan Changling Wind Farm project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV-CUK,1923327.0,146783.0
560,IGES09701,Huaneng Yunnan Eryuan Guanyinshan Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVQI,1329146.0,0.0
561,IGES09997,Da’an Anbai Expressway Xinaili Wind Farm Project(Phase I),China,France,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,RINA,1937313.0,0.0
562,IGES09204,Huaneng Guizhou Hezhang Jiucaiping Phase II Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVQI,1400392.0,0.0
563,IGES08624,Huaneng Gansu Qiaowan Sanbei Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV-CUK,3406515.0000000005,0.0
564,IGES02911,Huaneng Shanghai Chongming Qianwei Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVQI,581691.9178082192,0.0
565,IGES07363,Huaneng Jilin Taobei Phase II Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,TUEV-RHEIN,2023014.0000000002,0.0
566,IGES06394,Valdivia biomass power plant,Chile,United Kingdom of Great Britain and Northern Ireland,ACM0006;,LARGE,None,done,ex ante,0.25:0.75,DNV-CUK,1840727.0,516617.0
567,IGES06579,Shandong Haiyang Qiuershan Wind Power Project,China,Switzerland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV-CUK,557447.3753424657,100237.0
568,IGES09122,Jiangxi Yudu Yuezhou Hydropower Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,ERM-CVS,1538621.0,0.0
569,IGES08502,Shandong Laizhou Yidao Wind Power Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVQI,1677436.2493150684,0.0
570,IGES11310,Huaneng Yunlong County Caojian Liangzi Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV-CUK,1633121.0,512554.0
571,IGES10032,Jiangxi Yudu Xiashan 35.1MW Hydropower Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,ERM-CVS,1139179.9999999998,0.0
572,IGES09170,Datang Pingyin Phase II Wind Power Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,JQA,1703177.0000000002,0.0
573,IGES09161,Datang Changqing Phase I Wind Power Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,JQA,1708805.0,0.0
574,IGES07699,Jilin Songyuan Changling Yaojingzi Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV-CUK,1932623.0,136101.0
575,IGES00600,Fujian Zhaoan Meiling Wind Farm Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,TUEV-RHEIN,1467907.0,0.0
576,IGES09458,Grid connected 25 MW P V solar power project at Charanka in Gujarat,India,Switzerland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,LRQA Ltd,711472.7780821917,0.0
577,IGES08612,"Guangdong Yudean Xuwen Yongshi 49.5MW Wind Power Project in Zhanjiang City, Guangdong Province",China,Sweden,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,RWTUV,1483093.484931507,0.0
578,IGES01758,Biogas Support Program - Nepal Activity-3,Nepal,No Additional Countries,AMS-IE;,SMALL,None,done,N.A.,N.A.,RWTUV,1435783.9643835616,561754.0
579,IGES01009,Wind power project at Theni by Powerica Limited,India,No Additional Countries,AMS-ID;,SMALL,Benchmark Analysis,done,ex ante,0.75:0.25,LRQA Ltd,476215.95068493154,39722.0
580,IGES07518,Wind power project at Tamilnadu by Powerica Limited,India,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,done,ex ante,0.75:0.25,LRQA Ltd,697004.0,78807.0
581,IGES06757,Inner Mongolia Xinghe Hangtian Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVQI,2131472.0,201297.0
582,IGES07013,Amaime Minor Hydroelectric Power Plant,Colombia,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,done,ex post,0.5:0.5,AENOR,501571.00000000006,123240.0
583,IGES06596,Fuhui Inner Mongolia Tugurige Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV-CUK,2288965.0000000005,478419.0
584,IGES08514,Hubei Shiyan Zhuxi Baishahe Hydropower Station,China,"Netherlands, Kingdom of the",ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,CQC,1471967.0,0.0
585,IGES03038,Inner Mongolia Guyang Huaishuo I Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV-CUK,2068226.5342465753,157276.0
586,IGES06626,Fuhui Inner Mongolia Narenbaolige Wind Farm Project,China,No Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,DNV-CUK,2219679.0000000005,364484.0
587,IGES02515,Fujian Changle Wushan Wind Power Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.75:0.25,BVQI,1008104.4054794521,37161.0
588,IGES07002,Fujian Zhangpu Liuao 3rd phase Wind Power Project,China,United Kingdom of Great Britain and Northern Ireland,ACM0002;,LARGE,Benchmark Analysis,done,ex ante,0.75:0.25,DNV-CUK,863443.0,114721.0
589,IGES06639,Yunnan Gangquhe No.1 Hydropower Project,China,Multiple Additional Countries,ACM0002;,LARGE,Benchmark Analysis,None,ex ante,0.25:0.75,DNV-CUK,2932866.627397261,0.0
